employee_id,dept_id,level,hire_date,exit_date,is_active,annual_salary_inr,engagement_score,performance_rating,manager_changes_last_2yrs,work_mode,gender
E10000,2,Associate,2026-01-18,2026-04-16,False,1170000,2.93,4,2,Hybrid,Female
E10001,7,Analyst,2026-04-01,,True,788000,3.36,3,1,Onsite,Male
E10002,5,Associate,2019-01-01,,True,1003000,2.9,4,1,Onsite,Male
E10003,4,Associate,2025-10-12,,True,1073000,3.63,3,1,Hybrid,Male
E10004,1,Senior Associate,2020-08-19,,True,1326000,3.21,3,0,Onsite,Female
E10005,1,Senior Associate,2023-10-26,,True,1403000,2.55,3,0,Onsite,Male
E10006,1,Associate,2026-03-23,,True,1049000,4.48,3,0,Onsite,Female
E10007,6,Analyst,2019-01-01,,True,834000,3.25,3,2,Onsite,Male
E10008,4,VP,2025-07-13,,True,6941000,2.71,3,0,Hybrid,Male
E10009,5,Associate,2019-10-23,,True,1105000,3.48,5,0,Onsite,Female
E10010,1,Senior Associate,2025-11-13,2026-03-24,False,1748000,3.65,3,0,Hybrid,Male
E10011,7,Analyst,2019-12-11,,True,706000,2.38,4,0,Onsite,Male
E10012,6,Associate,2026-06-15,,True,1145000,3.83,5,0,Onsite,Male
E10013,1,Analyst,2024-01-21,,True,841000,2.87,1,1,Onsite,Male
E10014,1,Associate,2021-07-01,,True,971000,4.8,4,0,Hybrid,Male
E10015,1,Director,2019-01-01,,True,4304000,3.97,3,1,Remote,Female
E10016,1,Associate,2019-01-01,,True,1243000,3.32,2,1,Hybrid,Female
E10017,3,Analyst,2020-08-30,,True,871000,3.08,3,1,Remote,Male
E10018,2,Analyst,2019-01-13,,True,685000,3.53,5,0,Onsite,Male
E10019,1,Associate,2025-09-28,,True,923000,4.03,1,2,Onsite,Female
E10020,4,Analyst,2025-05-11,,True,696000,3.58,3,0,Onsite,Male
E10021,1,Analyst,2025-05-03,,True,727000,3.45,3,0,Onsite,Female
E10022,1,Manager,2024-11-19,2026-05-11,False,2214000,3.64,4,0,Onsite,Female
E10023,2,Associate,2024-10-18,,True,1117000,3.18,2,1,Onsite,Female
E10024,2,Associate,2023-10-27,,True,1215000,3.36,4,0,Onsite,Female
E10025,5,Senior Manager,2025-11-27,,True,2945000,2.14,4,1,Onsite,Female
E10026,1,Analyst,2022-06-30,,True,838000,4.28,4,2,Onsite,Female
E10027,3,Director,2025-11-15,,True,3917000,3.81,5,1,Onsite,Male
E10028,4,Associate,2025-03-26,,True,915000,3.06,4,0,Remote,Female
E10029,1,Senior Manager,2024-02-11,,True,3122000,4.93,2,0,Onsite,Male
E10030,4,Senior Associate,2021-01-27,,True,1335000,3.66,3,0,Hybrid,Male
E10031,1,Manager,2021-12-01,,True,2178000,2.87,3,2,Hybrid,Male
E10032,1,VP,2022-12-19,,True,7890000,4.2,3,1,Onsite,Female
E10033,7,Associate,2025-12-03,,True,985000,3.88,3,1,Onsite,Male
E10034,7,Director,2023-10-20,,True,4818000,3.88,3,0,Onsite,Female
